J_Fee,J_Fer,AA,Label
0,0,0,1
0,0.015625,0,1
0,0.027027027,0,1
0,0,0,1
0,0.032110092,0,1
0,0.02661597,0,1
0.031028136,0.070707071,60.24130308,1
0,0.039370079,0,1
0,0.018867925,0,1
0,0,0,1
0.013456363,0.074074074,25.59829343,1
0,0.030769231,0,1
0,0,0,1
0,0.099236641,0,1
0,0.011494253,0,1
0,0.037735849,0,1
0,0.020833333,0,1
0,0.325581395,0,1
0.046296296,0.144230769,16.93721165,1
0,0.051948052,0,1
0,0,0,1
0.062146893,0.023529412,8.218751324,1
0.009803922,0.001704158,0.61475561,1
0,0,0,1
0,0.011363636,0,1
0,0,0,1
0.002107482,0.027777778,3.498248073,1
0,0.285714286,0,1
0,0.041800643,0,1
0,0.01980198,0,1
0,0,0,1
0.001628664,0.005005005,0.296512087,1
0.012269939,0.000735294,1.496108197,1
0.00478816,0.136363636,15.70878662,1
0,0.028169014,0,1
0.024725275,0.18403971,141.8054276,1
0,0.022222222,0,1
0.368421053,0.292134831,28.82713441,1
0,0,0,1
0.033057851,0.043478261,3.714545547,1
0,0.11627907,0,1
0.01980198,0.011627907,1.921719928,1
0,0.324324324,0,1
0.066666667,0.138888889,6.25191459,1
0,0,0,1
0,0,0,1
0.033898305,0.090909091,2.127596382,1
0,0.033333333,0,1
0,0.01369863,0,1
0,0,0,1
0.002441009,0.008130081,3.455079898,1
0,0.039473684,0,1
0,0.068181818,0,1
0,0.060273973,0,1
0,0,0,1
0,0.060606061,0,1
0.023529412,0,0.624054054,1
0.000573312,0.005747126,6.488084335,1
0,0,0,1
0,0.019417476,0,1
0,0,0,1
0.04,0,0.712605697,1
0,0.028714107,0,1
0,0,0,1
0.00729927,0.02972028,0.359857925,1
0,0.001218027,0,1
0.001689189,0.01910828,0.321726859,1
0,0.005319149,0,1
0,0.333333333,0,1
0.210526316,0.4,5.312453338,1
0,0.020134228,0,1
0,0,0,1
0,0.016949153,0,1
0,0.041666667,0,1
0,0.015873016,0,1
0,0.133333333,0,1
0,0,0,1
0,0.266666667,0,1
0.012745098,0.027548209,4.941065025,1
0,0.032,0,1
0,0,0,1
0,0.04048583,0,1
0,0,0,1
0,0.067961165,0,1
0,0.025764895,0,1
0,0.066666667,0,1
0,0.013333333,0,1
0,0.073170732,0,1
0,0.290268456,0,1
0.058823529,0.19047619,5.522938023,1
0.03125,0.023076923,1.157916912,1
0,0,0,1
0,0.01536643,0,1
0,0.113207547,0,1
0.020979021,0.003603604,1.103431196,1
0,0.032786885,0,1
0.036363636,0.041198502,3.490880883,1
0,0,0,1
0,0.002030457,0,1
0,0,0,1
0,0,0,1
0.161290323,0.261904762,5.565593712,1
0,0.005181347,0,1
0.025462963,0.00729927,7.59878621,1
0.008859358,0.00608828,2.567269387,1
0,0.033333333,0,1
0,0.043478261,0,1
0,0.007876313,0,1
0,0.030487805,0,1
0.010603738,0.043844857,432.3227603,1
0,0,0,1
0,0.071428571,0,1
0.060869565,0.040909091,5.35137599,1
0,0.011916584,0,1
0,0,0,1
0,0,0,1
0,0.031413613,0,1
0,0,0,1
0,0.131147541,0,1
0.038286235,0.075313808,15.49772454,1
0.086956522,0.092592593,31.43525454,1
0,0.133333333,0,1
0,0.016129032,0,1
0.023856859,0.092827004,10.62837694,1
0,0.079295154,0,1
0,0.118644068,0,1
0,0,0,1
0,0.025,0,1
0,0.00280112,0,1
0,0.25,0,1
0.006164384,0.017077176,3.489229695,1
0.001549187,0.015037594,4.141244578,1
0.067729084,0.120300752,9.225915373,1
0,0.01183432,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0.006802721,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0.025,0,1
0.051094891,0.104347826,24.22310448,1
0,0.154891304,0,1
0,0.046153846,0,1
0,0.142857143,0,1
0.005090735,0.020931803,125.2726011,1
0.072222222,0.030075188,4.868556545,1
0.1875,0.233333333,6.95874417,1
0,0,0,1
0,0,0,1
0.057786484,0.067605634,25.20450965,1
0,0.15,0,1
0,0,0,1
0,0.071428571,0,1
0,0.021276596,0,1
0,0.023809524,0,1
0,0,0,1
0.017268446,0.029255319,4.500376163,1
0,0,0,1
0,0.062992126,0,1
0.00525394,0.002267574,1.151894487,1
0.009615385,0.023255814,0.594798639,1
0.1875,0.545454545,2.307567248,1
0,0,0,1
0,0.179487179,0,1
0,0.048648649,0,1
0,0,0,1
0,0.291666667,0,1
0,0,0,1
0,0.005347594,0,1
0,0,0,1
0.002583979,0,1.430676558,1
0.031746032,0.090534979,4.300904215,1
0,0.002982107,0,1
0,0.00536193,0,1
0,0,0,1
0.000972819,0.003120125,65.76665973,1
0,0.02173913,0,1
0.001390821,0.024390244,0.926628408,1
0,0.012048193,0,1
0,0,0,1
0,0.075471698,0,1
0,0.017391304,0,1
0,0,0,1
0,0.024590164,0,1
0,0,0,1
0.012195122,0,0.670617201,1
0,0.041420118,0,1
0,0,0,1
0.000594319,0.006387921,35.54597194,1
0.121212121,0.275862069,15.06488001,1
0,0,0,1
0,0.006493506,0,1
0,0.022222222,0,1
0,0.044117647,0,1
0,0.010204082,0,1
0,0,0,1
0.032679739,0.047337278,5.134320233,1
0,0.102564103,0,1
0,0.074074074,0,1
0.07266436,0.285714286,17.5688586,1
0.004587156,0.008474576,5.833564916,1
0,0,0,1
0.12345679,0.010869565,3.600961617,1
0,0.174129353,0,1
0,0.015748031,0,1
0,0.02173913,0,1
0.046875,0.001079914,0.887557824,1
0,0,0,1
0,0,0,1
0,0.541666667,0,1
0,0.02173913,0,1
0,0.068181818,0,1
0.000662905,0.009047619,20.97936838,1
0,0,0,1
0,0.025,0,1
0.001103753,0.000726216,0.282841643,1
0,0.073033708,0,1
0,0.04,0,1
0.001582278,0,0.5,1
0,0,0,1
0,0,0,1
0.19047619,0.25,2.265561014,1
0,0,0,1
0,0,0,1
0.019512195,0.00286123,1.42143505,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0.018181818,0,0.966907898,1
0.434782609,0.85,13.40927513,1
0.019652651,0.109489051,36.39178752,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0.333333333,0,1
0.013586957,0.115384615,7.605585866,1
0,0,0,1
0,0.032894737,0,1
0,0.043478261,0,1
0,0.022727273,0,1
0,0.028571429,0,1
0.0248307,0.037037037,18.52317049,1
0,0.31372549,0,1
0.064935065,0.001251564,1.744678722,1
0,0,0,1
0,0,0,1
0,0.010989011,0,1
0.073170732,0.166666667,5.114521215,1
0.001878375,0.003597122,10.84955298,1
0,0,0,1
0,0.116666667,0,1
0.040254237,0.08650519,10.41440552,1
0,0.039215686,0,1
0,0.013513514,0,1
0.111111111,0.185185185,4.21127295,1
0,0.25,0,1
0,0.113207547,0,1
0,0,0,1
0,0,0,1
0,0.001446132,0,1
0,0.009708738,0,1
0.027422303,0.074074074,18.99885626,1
0,0.048387097,0,1
0.066988533,0.105263158,58.47617638,1
0.025490196,0.074252137,10.27470875,1
0,0.012987013,0,1
0,0.063414634,0,1
0,0.01369863,0,1
0,0.023041475,0,1
0,0,0,1
0.080906149,0.21460374,11.17267332,1
0,0.037037037,0,1
0.034210526,0.005376344,5.035864378,1
0,0.103448276,0,1
0,0.003937008,0,1
0,0.006896552,0,1
0.015748031,0.105263158,1.03539601,1
0,0.027027027,0,1
0,0.145454545,0,1
0,0.014925373,0,1
0,0,0,1
0,0.069767442,0,1
0.002572707,0.102065614,27.00670802,1
0,0.058154235,0,1
0,0.1875,0,1
0.04511895,0.086102719,20.44656951,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0.375,0,1
0,0.058823529,0,1
0,0.04379562,0,1
0,0,0,1
0.007518797,0,0.456551855,1
0,0.16,0,1
0,0.062043796,0,1
0,0,0,1
0,0,0,1
0.006329114,0.000805802,0.288186995,1
0,0.067961165,0,1
0,0.038167939,0,1
0,0,0,1
0,0.070175439,0,1
0,0.183673469,0,1
0.019675676,0.093264249,33.07087529,1
0.011441648,0.016764133,1.641889387,1
0,0,0,1
0.001226202,0.002710027,14.30165155,1
0,0,0,1
0,0.012658228,0,1
0,0,0,1
0,0.039370079,0,1
0,0,0,1
0,0,0,1
0,0.424242424,0,1
0.029761905,0.071428571,1.881063695,1
0.019271949,0.07967033,3.750754311,1
0,0.000875657,0,1
0,0,0,1
0,0.01146789,0,1
0.021481481,0.062937063,12.28418523,1
0,0.105263158,0,1
0,0,0,1
0,0.0625,0,1
0,0.033333333,0,1
0,0.054054054,0,1
0,0.019230769,0,1
0.036896878,0.109756098,33.86765493,1
0,0.048832272,0,1
0,0.013888889,0,1
0.004405286,0.008733624,0.461399899,1
0,0.4375,0,1
0,0,0,1
0,0,0,1
0,0.037735849,0,1
0.031518625,0.046875,13.92023891,1
0.013888889,0.016129032,0.670990149,1
0.032067511,0.059055118,17.8673489,1
0.006726457,0.007936508,10.51708667,1
0,0,0,1
0.098712446,0.22556391,11.35345057,1
0.002596279,0,5.470027306,1
0.085714286,0.068181818,12.11186421,1
0,0.055045872,0,1
0.069767442,0.081632653,7.657753695,1
0.191358025,0.181818182,74.64206713,1
0,0.006849315,0,1
0,0.017241379,0,1
0,0,0,1
0.004069176,0.001743679,1.253893926,1
0,0,0,1
0,0,0,1
0,0.029691211,0,1
0,0,0,1
0.021840874,0.064935065,19.26974176,1
0,0.036585366,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0.015730337,0.078624079,20.31154107,1
0.012820513,0,0.594460663,1
0.005847953,0.00238379,0.310852752,1
0,0,0,1
0.202898551,0.361702128,7.464661901,1
0,0.084955752,0,1
0,0.022727273,0,1
0,0.00363901,0,1
0,0.12,0,1
0,0,0,1
0,0.035294118,0,1
0,0.044444444,0,1
0,0.08,0,1
0,0,0,1
0.212328767,0.292682927,17.02597046,1
0,0.006465517,0,1
0,0.033707865,0,1
0,0.076923077,0,1
0,0.072727273,0,1
0,0,0,1
0,0.024509804,0,1
0,0.004393673,0,1
0,0.052631579,0,1
0,0.066666667,0,1
0,0,0,1
0,0.016393443,0,1
0,0,0,1
0,0.189189189,0,1
0,0.02970297,0,1
0,0,0,1
0,0.066666667,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0.021696252,0.021114865,4.854451289,1
0,0.059659091,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0.003378378,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0.11965812,0,1
0,0,0,1
0,0,0,1
0.022143039,0.093632959,42.66963437,1
0.071661238,0.05,22.45332358,1
0,0.112903226,0,1
0.017130621,0.051282051,3.230283036,1
0,0.019607843,0,1
0.049575071,0.148387097,17.03366394,1
0.209302326,0.212121212,4.884004991,1
0.049482163,0.108303249,17.37614578,1
0,0.073770492,0,1
0.001285622,0.005788068,2.657505868,1
0,0,0,1
0.018691589,0,1.092863722,1
0,0.131147541,0,1
0,0,0,1
0,0.048780488,0,1
0,0.076923077,0,1
0.06505295,0.095384615,15.775717,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0.088,0,1
0,0.032786885,0,1
0,0.01754386,0,1
0,0.042682927,0,1
0,0,0,1
0,0.048387097,0,1
0,0.02,0,1
0.003577818,0.158139535,0.885790225,1
0,0,0,1
0,0.071428571,0,1
0.109375,0,3.266606944,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0.209163347,0,1
0.000263043,0.001309758,4.945887541,1
0,0,0,1
0,0,0,1
0,0.025,0,1
0.018087855,0.004832863,2.131198604,1
0,0.142857143,0,1
0.007317073,0.024054983,3.485229685,1
0,0,0,1
0,0,0,1
0,0.034188034,0,1
0,0.021857923,0,1
0,0,0,1
0.043478261,0.148148148,1.460208295,1
0.030075188,0.04,2.985332388,1
0.00039557,0,0.468704834,1
0.034805389,0.051587302,38.71940033,1
0,0,0,1
0,0,0,1
0.025627192,0.143250689,36.42059757,1
0,0.050847458,0,1
0,0.007518797,0,1
5.51E-05,0.001440329,17.45887744,1
0,0,0,1
0,0.1,0,1
0,0,0,1
0,0.005649718,0,1
0,0.074766355,0,1
0.022170362,0.063157895,10.5711559,1
0,0.428571429,0,1
0,0.125,0,1
0,0.107843137,0,1
0,0.131428571,0,1
0,0.084745763,0,1
0.006055363,0.019480519,3.067839802,1
0,0.005509642,0,1
0,0,0,1
0.000438789,0.002676182,0.974657995,1
0,0.021582734,0,1
0,0,0,1
0,0.012605042,0,1
0,0.030612245,0,1
0.088709677,0.096618357,4.986988708,1
0,0.029850746,0,1
0,0.005272408,0,1
0,0.056379822,0,1
0.079510703,0.2,16.70311457,1
0,0.153846154,0,1
0,0,0,1
0,0.111111111,0,1
0,0,0,1
0.003102149,0.065420561,6.319497933,1
0,0.095238095,0,1
0,0.02688172,0,1
0.041666667,0.096446701,3.962876039,1
0,0.101449275,0,1
0.016042781,0.010723861,5.50300257,1
0.006451613,0,0.340773736,1
0.066543438,0.047263682,16.15984006,1
0,0.1,0,1
0,0.075268817,0,1
0,0,0,1
0.01010101,0.012658228,0.996560541,1
0,0,0,1
0,0,0,1
0.043956044,0.178247734,5.112823935,1
0,0.071428571,0,1
0,0,0,1
0,0,0,1
0,0.02247191,0,1
0.028528529,0.004464286,9.029017427,1
0,0.146341463,0,1
0,0.034482759,0,1
0,0.015384615,0,1
0,0,0,1
0.012690355,0.009861933,1.663706129,1
0,0,0,1
0,0.105263158,0,1
0,0.12244898,0,1
0,0.082706767,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0.149284254,0,1
0,0.285714286,0,1
0,0.129032258,0,1
0,0.083333333,0,1
0,0,0,1
0,0.166666667,0,1
0.043478261,0.072829132,2.853097021,1
0,0.086206897,0,1
0,0.051046025,0,1
0.00789266,0.042016807,15.08449259,1
0,0.05631068,0,1
0,0.333333333,0,1
0.030136986,0.0296875,4.328945977,1
0,0.05,0,1
0,0,0,1
0.004285714,0.033333333,1.380612824,1
0,0.071428571,0,1
0,0.1,0,1
0,0,0,1
0,0,0,1
0,0.017699115,0,1
0,0.043549712,0,1
0,0.009090909,0,1
0,0.112244898,0,1
0.040540541,0.141772152,15.4027632,1
0,0.0125,0,1
0.011111111,0.01980198,1.222318778,1
0,0.017857143,0,1
0,0.029268293,0,1
0,0,0,1
0.062481492,0.151234568,107.864928,1
2.11E-05,0,0.272759228,1
0.028571429,0.0237691,6.69348077,1
0,0,0,1
0.00253936,0.003225806,4.054352061,1
0,0.04040404,0,1
0,0.625,0,1
0,0.022727273,0,1
0,0,0,1
0,0.2,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0.01754386,0.049668874,2.19685931,1
0,0.125,0,1
0,0.142857143,0,1
0,0.25,0,1
0.083969466,0.026217228,7.221868335,1
0,0.108796296,0,1
0,0,0,1
0.140909091,0.193277311,15.9725398,1
0,0,0,1
0,0.071428571,0,1
0,0.014492754,0,1
0,0.013986014,0,1
0.130742049,0.211382114,16.30589969,1
0,0.076404494,0,1
0,0.052631579,0,1
0,0,0,1
0,0.129554656,0,1
0,0,0,1
0,0,0,1
0,0.045112782,0,1
0,0,0,1
0,0.026022305,0,1
0.002083333,0.103448276,0.410750338,1
0,0.0625,0,1
0,0,0,1
0,0.044444444,0,1
0,0.032345013,0,1
0,0,0,1
0.000224662,0.000666667,3.743433614,1
0,0,0,1
0,0.055276382,0,1
0,0,0,1
0.000276091,0.010118044,1.912505315,1
0,0.086956522,0,1
0,0.08,0,1
0,0,0,1
0,0,0,1
0,0.015267176,0,1
0.016949153,0.000856164,1.429485577,1
0,0.055555556,0,1
3.27E-05,0.0113879,0.720162262,1
0,0.085106383,0,1
0,0,0,1
0,0.097276265,0,1
0,0,0,1
0.056581986,0.085626911,19.83742493,1
0,0.142857143,0,1
0,0,0,1
0,0,0,1
0.057971014,0.036144578,7.354159308,1
0.059760956,0.10459588,15.34890237,1
0.15942029,0.157407407,18.0497269,1
0,0.016949153,0,1
0,0.017482517,0,1
0,0.050520059,0,1
0,0.00591716,0,1
0,0,0,1
0,0.026595745,0,1
0,0,0,1
0,0.333333333,0,1
0,0,0,1
0,0.129032258,0,1
0,0,0,1
0,0.3,0,1
0.043478261,0.046391753,6.609745691,1
0,0,0,1
0,0.046370968,0,1
0.287272727,0.38150289,41.08201273,1
0,0,0,1
0,0,0,1
0,0.013577733,0,1
0,0.010791367,0,1
0.042654028,0.38961039,3.471267236,1
0,0,0,1
0,0.042857143,0,1
0,0.043478261,0,1
0,0.018867925,0,1
0,0,0,1
0,0.041899441,0,1
0,0.027777778,0,1
0,0,0,1
0,0,0,1
0,0.024390244,0,1
0,0,0,1
0,0,0,1
0,0.027027027,0,1
0,0.025316456,0,1
0.001885195,0.057649667,18.30209375,1
0,0,0,1
0,0.00736377,0,1
0,0.0625,0,1
0,0,0,1
0,0.088888889,0,1
0,0.120754717,0,1
0.060606061,0.018929504,1.219244568,1
0,0,0,1
0,0,0,1
0,0,0,1
0.009166667,0.008432888,4.501509599,1
0,0.109090909,0,1
0,0.051886792,0,1
0,0.090909091,0,1
0,0.035087719,0,1
0,0,0,1
0,0.038461538,0,1
0,0.033333333,0,1
0.061728395,0.002325581,1.67481794,1
0,0,0,1
0,0,0,1
0.003256622,0.005785492,5.112881753,1
0,0.061538462,0,1
0,0,0,1
0,0.004175365,0,1
0.018895349,0.022022022,13.93517231,1
0,0.090566038,0,1
0,0,0,1
0,0.010638298,0,1
0,0.004950495,0,1
0,0.011461318,0,1
0.111111111,0.203125,8.138618989,1
0,0.036199095,0,1
0,0,0,1
0,0.04009434,0,1
0.005747126,0,1.616868356,1
0,0,0,1
0.120805369,0.121621622,8.377948438,1
0.027059531,0.036630037,21.267387,1
0,0,0,1
0.404761905,0.514285714,10.95986862,1
0.039563438,0.120689655,14.93050369,1
0,0,0,1
0,0.034090909,0,1
0,0.06,0,1
0.02173913,0.065217391,1.047951637,1
0,0.067961165,0,1
0,0,0,1
0,0.25,0,1
0,0,0,1
0,0,0,1
0.001573564,0,1.073988501,1
0,0.318181818,0,1
0,0.096774194,0,1
0,0,0,1
0.117647059,0.114583333,1.731092486,1
0,0,0,1
0,0.024390244,0,1
0,0.038461538,0,1
0,0.035175879,0,1
0,0,0,1
0,0.011494253,0,1
0,0.0625,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0.047524752,0.09009009,9.883069915,1
0.032786885,0.005572755,0.689111045,1
0,0.007168459,0,1
0,0.035714286,0,1
0,0.078431373,0,1
0,0.002894356,0,1
0,0,0,1
0,0.030690537,0,1
0,0.058333333,0,1
0,0.016129032,0,1
0,0.039215686,0,1
0.059701493,0.001784121,1.31152868,1
0,0.076923077,0,1
0,0.188118812,0,1
0,0.128205128,0,1
0.007246377,0,0.960252568,1
0,0,0,1
0.006086427,0.076212471,4.146705051,1
0.067114094,0.196930946,20.89384091,1
0,0.024096386,0,1
0,0.004424779,0,1
0.028639618,0.061674009,5.554122504,1
0,0,0,1
0.002898551,0,0.363163187,1
0,0,0,1
0,0,0,1
0,0.048780488,0,1
0,0.045454545,0,1
0.150442478,0.285714286,7.807864,1
0.007042254,0.001295337,0.302500364,1
0,0,0,1
0,0,0,1
0.001523029,0.009578544,15.64773185,1
0,0.066666667,0,1
0,0,0,1
0,0,0,1
0,0.006060606,0,1
0.004728132,0,0.79761597,1
0,0.105263158,0,1
0,0.014925373,0,1
0,0.142857143,0,1
0.026315789,0.03125,1.792873936,1
0.006965174,0.02362949,2.860212529,1
0.003861004,0.001356852,0.493752582,1
0,0.1,0,1
0,0.027027027,0,1
0,0.029126214,0,1
0,0.0125,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0.020833333,0,1
0.003514544,0.023809524,24.68197952,1
0,0,0,1
0,0.071428571,0,1
0.034782609,0.040322581,2.935787284,1
0,0,0,1
0,0.083333333,0,1
0,0.119402985,0,1
0,0.002155172,0,1
0,0.007679649,0,1
0.069078947,0.08,13.52059484,1
0,0.071428571,0,1
0,0.000273299,0,1
0,0,0,1
0.043859649,0.069767442,1.946970019,1
0.18,0.304347826,9.324445668,1
0.011409568,0.089164786,186.3591222,1
0,0,0,1
0.001733102,0.003205128,0.582749447,1
0,0.015209125,0,1
0,0,0,1
0,0.029411765,0,1
0,0.186602871,0,1
0,0.084337349,0,1
0,0,0,1
0,0.003571429,0,1
0,0.090361446,0,1
0,0,0,1
0,0.014354067,0,1
0,0.069444444,0,1
0.142857143,0.12962963,6.319638864,1
0.107221007,0.027972028,23.7629531,1
0.107142857,0.173913043,5.074542846,1
0,0.078125,0,1
0,0.071428571,0,1
0.025641026,0.003058104,1.090084231,1
0,0.163265306,0,1
0,0.333333333,0,1
0.044092318,0.103107345,53.34590243,1
0.063157895,0,2.351339581,1
0,0,0,1
0,0.045454545,0,1
0,0.029850746,0,1
0,0.088372093,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0.818181818,0,1
0,0,0,1
0,0,0,1
0,0.107142857,0,1
0,0,0,1
0,0,0,1
0.017316017,0.032085561,6.520111914,1
0.044812697,0.152284264,315.5455649,1
0,0.026666667,0,1
0.021428571,0.036036036,1.352139671,1
0,0,0,1
0.089552239,0.081632653,2.494911396,1
0.007682458,0.001404494,1.929427773,1
0,0.006825939,0,1
0.056737589,0.055555556,5.005041792,1
0.184615385,0.444444444,7.135011975,1
0,0,0,1
0,0,0,1
0,0.053777209,0,1
0,0.034042553,0,1
0,0,0,1
0.074889868,0.045454545,11.30912846,1
0,0.073333333,0,1
0.007959906,0.023622047,9.63208346,1
0.194174757,0.375,16.5534149,1
0.074074074,0.25,2.610178878,1
0,0,0,1
0.069970845,0.166666667,12.00811998,1
0.013779528,0.01241535,2.458601252,1
0,0.064516129,0,1
0,0.010050251,0,1
0,0,0,1
0.002816901,0.02283105,0.288556022,1
0,0.026666667,0,1
0,0.052631579,0,1
0,0.028571429,0,1
0,0,0,1
0,0.078947368,0,1
0,0.028571429,0,1
0,0.217391304,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0.030508475,0.054347826,3.850964147,1
0.005720824,0.056074766,5.081082619,1
0,0,0,1
0,0.05,0,1
0,0,0,1
0.073929961,0.170454545,9.151978739,1
0.015384615,0.025,0.363671234,1
0,0.134615385,0,1
0,0.023255814,0,1
0,0,0,1
0,0.002692998,0,1
0,0.09196515,0,1
0.131782946,0.293103448,10.29769799,1
