J_Fee,J_Fer,C_Fee,C_Fer,AA,Label
0,0,0,0,0,1
0,0.04,0,0.058345997,0,1
0.010835214,0.010104412,0.03070676,0.001467342,9.071634445,1
0,0,0,0,0,1
0.00240096,0.002659574,0.009824007,0.000692521,0.680548109,1
0,0.075949367,0,0.076471911,0,1
0,0,0,0,0,1
0,0.129976581,0,0.009647767,0,1
0,0.078341014,0,0.012613164,0,1
0,0.136363636,0,0.024122114,0,1
0,0.003738318,0,0.021657404,0,1
0.086956522,0.181818182,0.166666667,0.115470054,3.911649283,1
0,0.039215686,0,0.0372678,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.034246575,0,0.00927837,0,1
0,0.017647059,0,0.0201716,0,1
0,0.04950495,0,0.022222222,0,1
0.022880215,0.103658537,0.049524391,0.018518782,18.20260123,1
0.00104712,0,0.003134996,0,0.299131219,1
0.072289157,0.171428571,0.161514571,0.061205374,8.308721564,1
0,0.090909091,0,0.158113883,0,1
0,0.000794913,0,0.000459674,0,1
0.066579634,0.20441989,0.148586413,0.030615212,24.4265883,1
0,0.04245283,0,0.006493838,0,1
0,0.05027933,0,0.012290656,0,1
0,0.065868263,0,0.013419375,0,1
0,0.142857143,0,0.184900065,0,1
0.037433155,0.00219539,0.080974924,0.000985052,4.734519098,1
0,0.044117647,0,0.032547228,0,1
0.02484472,0.016270338,0.120276956,0.00435388,3.68102416,1
0,0,0,0,0,1
0,0.19047619,0,0.086146098,0,1
0,0,0,0,0,1
0,0.111111111,0,0.125988158,0,1
0.028571429,0.014912281,0.065858556,0.002406389,1.010920286,1
0.094142259,0.063768116,0.176247118,0.009814731,18.16032498,1
0,0.242424242,0,0.058989608,0,1
0,0.02238806,0,0.011643179,0,1
0,0.055555556,0,0.032686023,0,1
0,0,0,0,0,1
0.003378378,0.070359281,0.026171196,0.005119371,1.394027871,1
0,0.04,0,0.029462783,0,1
0,0.184466019,0,0.046679383,0,1
0,0.05907173,0,0.032400637,0,1
0,0,0,0,0,1
0,0.10652921,0,0.009895472,0,1
0,0,0,0,0,1
0.011135857,0.03125,0.032635331,0.004078494,21.30138947,1
0.225490196,0.323076923,0.368578385,0.072182425,12.11936083,1
0,0.176767677,0,0.028017488,0,1
0,0.10755814,0,0.017665431,0,1
0,0,0,0,0,1
0.005988024,0.03125,0.013639887,0.032075015,0.926628408,1
0,0.08045977,0,0.046924943,0,1
0,0,0,0,0,1
0.175675676,0.434782609,0.349189951,0.140663812,8.714685566,1
0,0.232804233,0,0.039158059,0,1
0,0.011363636,0,0.007749843,0,1
0,0,0,0,0,1
0.046456693,0.134883721,0.092678668,0.020095013,28.13686281,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.052631579,0,0.03030303,0,1
0.06122449,0.054545455,0.131909235,0.02296778,7.035743812,1
0,0.061111111,0,0.02840756,0,1
0,0,0,0,0,1
0.019607843,0.176470588,0.1,0.058478866,0.402297695,1
0,0.190031153,0,0.021229595,0,1
0,0.090277778,0,0.013,0,1
0.039473684,0.119047619,0.07699905,0.02911421,2.509559906,1
0,0.015873016,0,0.063500064,0,1
0,0,0,0,0,1
0.021505376,0,0.044138309,0,3.13338014,1
0.021750524,0.108545035,0.086419052,0.01235179,39.68683114,1
0,0.005128205,0,0.035897908,0,1
0,0,0,0,0,1
0,0.017857143,0,0.017857143,0,1
0,0.029745042,0,0.004887633,0,1
0,0,0,0,0,1
0,0.118644068,0,0.039682514,0,1
0,0.032258065,0,0.061898446,0,1
0,0,0,0,0,1
0.080808081,0.002444988,0.150064495,0.000790569,3.048813161,1
0,0.002412545,0,0.000455866,0,1
0,0.001126126,0,0.000376861,0,1
0.03768624,0.162790698,0.100022993,0.040241849,26.89016225,1
0,0,0,0,0,1
0,0,0,0,0,1
0.000379795,0.002969562,0.011255867,0.001214121,0.888222285,1
0,0.018518519,0,0.006762625,0,1
0,0.007978723,0,0.003048101,0,1
0,0,0,0,0,1
0,0.035294118,0,0.006941056,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0.142276423,0.266055046,0.251298309,0.046476269,20.14224561,1
0.050925926,0.013363029,0.117783551,0.003089774,3.774269055,1
0,0.08627451,0,0.013631045,0,1
0,0.122009569,0,0.015646613,0,1
0,0,0,0,0,1
0.027377522,0.071868583,0.053467061,0.009235457,7.567412528,1
0,0,0,0,0,1
0,0.018348624,0,0.048336824,0,1
0,0.016393443,0,0.006410256,0,1
0,0,0,0,0,1
0,0.015625,0,0.00745356,0,1
0,0.027027027,0,0.008784105,0,1
0,0,0,0,0,1
0,0.032110092,0,0.005906397,0,1
0,0.02661597,0,0.023254531,0,1
0.031028136,0.070707071,0.060196498,0.017420051,60.24130308,1
0,0.039370079,0,0.03200922,0,1
0,0.018867925,0,0.006547285,0,1
0,0,0,0,0,1
0.013456363,0.074074074,0.044341336,0.006497647,25.59829343,1
0,0.030769231,0,0.009494146,0,1
0,0,0,0,0,1
0,0.099236641,0,0.019711252,0,1
0,0.011494253,0,0.015873016,0,1
0,0.037735849,0,0.092450033,0,1
0,0.020833333,0,0.006920912,0,1
0,0.325581395,0,0.07993054,0,1
0.046296296,0.144230769,0.128868216,0.039709785,16.93721165,1
0,0.051948052,0,0.029411765,0,1
0,0,0,0,0,1
0.062146893,0.023529412,0.119487598,0.003857584,8.218751324,1
0.009803922,0.001704158,0.02388922,0.000403462,0.61475561,1
0,0,0,0,0,1
0,0.011363636,0,0.011250879,0,1
0,0,0,0,0,1
0.002107482,0.027777778,0.012163606,0.008171506,3.498248073,1
0,0.285714286,0,0.1028689,0,1
0,0.041800643,0,0.006668,0,1
0,0.01980198,0,0.018955856,0,1
0,0,0,0,0,1
0.001628664,0.005005005,0.004016874,0.00104145,0.296512087,1
0.012269939,0.000735294,0.025338287,0.000213992,1.496108197,1
0.00478816,0.136363636,0.035653826,0.01512828,15.70878662,1
0,0.028169014,0,0.008570991,0,1
0.024725275,0.18403971,0.059942128,0.007252029,141.8054276,1
0,0.022222222,0,0.016666667,0,1
0.368421053,0.292134831,0.565916458,0.055195354,28.82713441,1
0,0,0,0,0,1
0.033057851,0.043478261,0.163299316,0.01965774,3.714545547,1
0,0.11627907,0,0.074074074,0,1
0.01980198,0.011627907,0.082902667,0.005453824,1.921719928,1
0,0.324324324,0,0.12478355,0,1
0.066666667,0.138888889,0.129099445,0.030308841,6.25191459,1
0,0,0,0,0,1
0,0,0,0,0,1
0.033898305,0.090909091,0.151619609,0.05498574,2.127596382,1
0,0.033333333,0,0.024382992,0,1
0,0.01369863,0,0.009820928,0,1
0,0,0,0,0,1
0.002441009,0.008130081,0.040364934,0.003082908,3.455079898,1
0,0.039473684,0,0.039840954,0,1
0,0.068181818,0,0.027196415,0,1
0,0.060273973,0,0.011581084,0,1
0,0,0,0,0,1
0,0.060606061,0,0.010743376,0,1
0.023529412,0,0.059339083,0,0.624054054,1
0.000573312,0.005747126,0.005439741,0.000863039,6.488084335,1
0,0,0,0,0,1
0,0.019417476,0,0.014054567,0,1
0,0,0,0,0,1
0.04,0,0.086710997,0,0.712605697,1
0,0.028714107,0,0.004538334,0,1
0,0,0,0,0,1
0.00729927,0.02972028,0.024000768,0.003897273,0.359857925,1
0,0.001218027,0,0.006997114,0,1
0.001689189,0.01910828,0.006304163,0.004688278,0.321726859,1
0,0.005319149,0,0.003846154,0,1
0,0.333333333,0,0.353553391,0,1
0.210526316,0.4,0.350823208,0.19245009,5.312453338,1
0,0.020134228,0,0.012476331,0,1
0,0,0,0,0,1
0,0.016949153,0,0.007560154,0,1
0,0.041666667,0,0.023809524,0,1
0,0.015873016,0,0.04267896,0,1
0,0.133333333,0,0.178174161,0,1
0,0,0,0,0,1
0,0.266666667,0,0.213808994,0,1
0.012745098,0.027548209,0.029264142,0.003838227,4.941065025,1
0,0.032,0,0.007092957,0,1
0,0,0,0,0,1
0,0.04048583,0,0.007823524,0,1
0,0,0,0,0,1
0,0.067961165,0,0.03862102,0,1
0,0.025764895,0,0.011437859,0,1
0,0.066666667,0,0.133630621,0,1
0,0.013333333,0,0.006894876,0,1
0,0.073170732,0,0.070456709,0,1
0,0.290268456,0,0.021316984,0,1
0.058823529,0.19047619,0.195217202,0.088302157,5.522938023,1
0.03125,0.023076923,0.061754023,0.006148755,1.157916912,1
0,0,0,0,0,1
0,0.01536643,0,0.010828867,0,1
0,0.113207547,0,0.037688918,0,1
0.020979021,0.003603604,0.064062213,0.002548133,1.103431196,1
0,0.032786885,0,0.022537089,0,1
0.036363636,0.041198502,0.074113621,0.011907838,3.490880883,1
0,0,0,0,0,1
0,0.002030457,0,0.009126808,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0.161290323,0.261904762,0.361079072,0.125814978,5.565593712,1
0,0.005181347,0,0.025515518,0,1
0.025462963,0.00729927,0.067684939,0.001030578,7.59878621,1
0.008859358,0.00608828,0.020486572,0.000983513,2.567269387,1
0,0.033333333,0,0.013518452,0,1
0,0.043478261,0,0.00521128,0,1
0,0.007876313,0,0.014884532,0,1
0,0.030487805,0,0.005860992,0,1
0.010603738,0.043844857,0.064078399,0.002527382,432.3227603,1
0,0,0,0,0,1
0,0.071428571,0,0.055555556,0,1
0.060869565,0.040909091,0.129165362,0.01056338,5.35137599,1
0,0.011916584,0,0.023681587,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.031413613,0,0.00565399,0,1
0,0,0,0,0,1
0,0.131147541,0,0.06223467,0,1
0.038286235,0.075313808,0.076544266,0.011407412,15.49772454,1
0.086956522,0.092592593,0.21821789,0.015106422,31.43525454,1
0,0.133333333,0,0.074535599,0,1
0,0.016129032,0,0.00617284,0,1
0.023856859,0.092827004,0.090233216,0.015325076,10.62837694,1
0,0.079295154,0,0.012226241,0,1
0,0.118644068,0,0.051604685,0,1
0,0,0,0,0,1
0,0.025,0,0.080064077,0,1
0,0.00280112,0,0.000429054,0,1
0,0.25,0,0.178885438,0,1
0.006164384,0.017077176,0.012640873,0.001458336,3.489229695,1
0.001549187,0.015037594,0.005808192,0.003336003,4.141244578,1
0.067729084,0.120300752,0.131707778,0.016242276,9.225915373,1
0,0.01183432,0,0.027358783,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.006802721,0,0.019574007,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.025,0,0.010647943,0,1
0.051094891,0.104347826,0.098486593,0.022473329,24.22310448,1
0,0.154891304,0,0.019053184,0,1
0,0.046153846,0,0.014423077,0,1
0,0.142857143,0,0.053763441,0,1
0.005090735,0.020931803,0.026275203,0.011996904,125.2726011,1
0.072222222,0.030075188,0.135123747,0.007142857,4.868556545,1
0.1875,0.233333333,0.319801075,0.092073387,6.95874417,1
0,0,0,0,0,1
0,0,0,0,0,1
0.057786484,0.067605634,0.109476475,0.015540808,25.20450965,1
0,0.15,0,0.083205029,0,1
0,0,0,0,0,1
0,0.071428571,0,0.047245559,0,1
0,0.021276596,0,0.025916053,0,1
0,0.023809524,0,0.007887613,0,1
0,0,0,0,0,1
0.017268446,0.029255319,0.054015101,0.00274635,4.500376163,1
0,0,0,0,0,1
0,0.062992126,0,0.071554175,0,1
0.00525394,0.002267574,0.023483411,0.000542354,1.151894487,1
0.009615385,0.023255814,0.019611614,0.007147417,0.594798639,1
0.1875,0.545454545,0.387298335,0.23570226,2.307567248,1
0,0,0,0,0,1
0,0.179487179,0,0.042871229,0,1
0,0.048648649,0,0.008655675,0,1
0,0,0,0,0,1
0,0.291666667,0,0.116666667,0,1
0,0,0,0,0,1
0,0.005347594,0,0.001263724,0,1
0,0,0,0,0,1
0.002583979,0,0.005392658,0,1.430676558,1
0.031746032,0.090534979,0.084425959,0.028508796,4.300904215,1
0,0.002982107,0,0.000364858,0,1
0,0.00536193,0,0.001207936,0,1
0,0,0,0,0,1
0.000972819,0.003120125,0.008314374,0.000547919,65.76665973,1
0,0.02173913,0,0.011785113,0,1
0.001390821,0.024390244,0.018685877,0.014803853,0.926628408,1
0,0.012048193,0,0.005379144,0,1
0,0,0,0,0,1
0,0.075471698,0,0.046386361,0,1
0,0.017391304,0,0.017659743,0,1
0,0,0,0,0,1
0,0.024590164,0,0.010878709,0,1
0,0,0,0,0,1
0.012195122,0,0.025373438,0,0.670617201,1
0,0.041420118,0,0.016046818,0,1
0,0,0,0,0,1
0.000594319,0.006387921,0.012713345,0.000991435,35.54597194,1
0.121212121,0.275862069,0.216815902,0.072098409,15.06488001,1
0,0,0,0,0,1
0,0.006493506,0,0.020344711,0,1
0,0.022222222,0,0.011973687,0,1
0,0.044117647,0,0.047245559,0,1
0,0.010204082,0,0.034020691,0,1
0,0,0,0,0,1
0.032679739,0.047337278,0.06751365,0.014530667,5.134320233,1
0,0.102564103,0,0.067343503,0,1
0,0.074074074,0,0.049147319,0,1
0.07266436,0.285714286,0.16548263,0.096469599,17.5688586,1
0.004587156,0.008474576,0.048001536,0.003797992,5.833564916,1
0,0,0,0,0,1
0.12345679,0.010869565,0.224733287,0.004536092,3.600961617,1
0,0.174129353,0,0.02556627,0,1
0,0.015748031,0,0.030055654,0,1
0,0.02173913,0,0.018405254,0,1
0.046875,0.001079914,0.107417231,0.000301304,0.887557824,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.541666667,0,0.184773954,0,1
0,0.02173913,0,0.050251891,0,1
0,0.068181818,0,0.026064302,0,1
0.000662905,0.009047619,0.013655577,0.001688139,20.97936838,1
0,0,0,0,0,1
0,0.025,0,0.009988146,0,1
0.001103753,0.000726216,0.003177246,0.000129426,0.282841643,1
0,0.073033708,0,0.013893457,0,1
0,0.04,0,0.008620489,0,1
0.001582278,0,0.006085581,0,0.5,1
0,0,0,0,0,1
0,0,0,0,0,1
0.19047619,0.25,0.34299717,0.16495722,2.265561014,1
0,0,0,0,0,1
0,0,0,0,0,1
0.019512195,0.00286123,0.045175395,0.001020356,1.42143505,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0.018181818,0,0.041239305,0,0.966907898,1
0.434782609,0.85,0.635963001,0.216670415,13.40927513,1
0.019652651,0.109489051,0.046624034,0.010413535,36.39178752,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.333333333,0,0.145833333,0,1
0.013586957,0.115384615,0.054632575,0.074535599,7.605585866,1
0,0,0,0,0,1
0,0.032894737,0,0.037618449,0,1
0,0.043478261,0,0.021130036,0,1
0,0.022727273,0,0.017460757,0,1
0,0.028571429,0,0.007095347,0,1
0.0248307,0.037037037,0.061117819,0.01559078,18.52317049,1
0,0.31372549,0,0.083150829,0,1
0.064935065,0.001251564,0.144518328,0.000724404,1.744678722,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.010989011,0,0.003171728,0,1
0.073170732,0.166666667,0.138675049,0.1,5.114521215,1
0.001878375,0.003597122,0.022563647,0.001371922,10.84955298,1
0,0,0,0,0,1
0,0.116666667,0,0.034541062,0,1
0.040254237,0.08650519,0.114934306,0.012109129,10.41440552,1
0,0.039215686,0,0.007515382,0,1
0,0.013513514,0,0.029669541,0,1
0.111111111,0.185185185,0.200643088,0.072463768,4.21127295,1
0,0.25,0,0.062347969,0,1
0,0.113207547,0,0.063887656,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.001446132,0,0.000724113,0,1
0,0.009708738,0,0.049507377,0,1
0.027422303,0.074074074,0.055476184,0.054554473,18.99885626,1
0,0.048387097,0,0.010517838,0,1
0.066988533,0.105263158,0.154031236,0.017961383,58.47617638,1
0.025490196,0.074252137,0.073449844,0.00804302,10.27470875,1
0,0.012987013,0,0.003791171,0,1
0,0.063414634,0,0.01097532,0,1
0,0.01369863,0,0.009820928,0,1
0,0.023041475,0,0.005002963,0,1
0,0,0,0,0,1
0.080906149,0.21460374,0.152010095,0.014682315,11.17267332,1
0,0.037037037,0,0.005064476,0,1
0.034210526,0.005376344,0.067684469,0.001403255,5.035864378,1
0,0.103448276,0,0.04454354,0,1
0,0.003937008,0,0.00742543,0,1
0,0.006896552,0,0.004910464,0,1
0.015748031,0.105263158,0.034565056,0.011103927,1.03539601,1
0,0.027027027,0,0.011293849,0,1
0,0.145454545,0,0.025564223,0,1
0,0.014925373,0,0.061545745,0,1
0,0,0,0,0,1
0,0.069767442,0,0.022288087,0,1
0.002572707,0.102065614,0.012703611,0.008140555,27.00670802,1
0,0.058154235,0,0.006933721,0,1
0,0.1875,0,0.193649167,0,1
0.04511895,0.086102719,0.11301285,0.010885699,20.44656951,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.375,0,0.283473355,0,1
0,0.058823529,0,0.038490018,0,1
0,0.04379562,0,0.011220541,0,1
0,0,0,0,0,1
0.007518797,0,0.033538924,0,0.456551855,1
0,0.16,0,0.085709913,0,1
0,0.062043796,0,0.008906395,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0.006329114,0.000805802,0.016286559,0.00014419,0.288186995,1
0,0.067961165,0,0.031565174,0,1
0,0.038167939,0,0.018559137,0,1
0,0,0,0,0,1
0,0.070175439,0,0.028212421,0,1
0,0.183673469,0,0.048993969,0,1
0.019675676,0.093264249,0.049859346,0.010956643,33.07087529,1
0.011441648,0.016764133,0.024826816,0.00140406,1.641889387,1
0,0,0,0,0,1
0.001226202,0.002710027,0.016941687,0.0007549,14.30165155,1
0,0,0,0,0,1
0,0.012658228,0,0.013186463,0,1
0,0,0,0,0,1
0,0.039370079,0,0.045267873,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.424242424,0,0.063238334,0,1
0.029761905,0.071428571,0.058754447,0.030965706,1.881063695,1
0.019271949,0.07967033,0.048082988,0.010135772,3.750754311,1
0,0.000875657,0,0.000619725,0,1
0,0,0,0,0,1
0,0.01146789,0,0.009440013,0,1
0.021481481,0.062937063,0.049708719,0.008898934,12.28418523,1
0,0.105263158,0,0.121267813,0,1
0,0,0,0,0,1
0,0.0625,0,0.045175395,0,1
0,0.033333333,0,0.062994079,0,1
0,0.054054054,0,0.084515425,0,1
0,0.019230769,0,0.007737306,0,1
0.036896878,0.109756098,0.071382882,0.015358646,33.86765493,1
0,0.048832272,0,0.005450271,0,1
0,0.013888889,0,0.003016495,0,1
0.004405286,0.008733624,0.047036043,0.004405286,0.461399899,1
0,0.4375,0,0.225924029,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.037735849,0,0.012820513,0,1
0.031518625,0.046875,0.080166602,0.036444715,13.92023891,1
0.013888889,0.016129032,0.049875467,0.007710579,0.670990149,1
0.032067511,0.059055118,0.062300105,0.019582045,17.8673489,1
0.006726457,0.007936508,0.022081149,0.004220349,10.51708667,1
0,0,0,0,0,1
0.098712446,0.22556391,0.204389948,0.037969817,11.35345057,1
0.002596279,0,0.034024383,0,5.470027306,1
0.085714286,0.068181818,0.159013641,0.024472067,12.11186421,1
0,0.055045872,0,0.012737389,0,1
0.069767442,0.081632653,0.140635988,0.022222222,7.657753695,1
0.191358025,0.181818182,0.336812301,0.037993797,74.64206713,1
0,0.006849315,0,0.04152274,0,1
0,0.017241379,0,0.008006408,0,1
0,0,0,0,0,1
0.004069176,0.001743679,0.014934941,0.000451397,1.253893926,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.029691211,0,0.008781245,0,1
0,0,0,0,0,1
0.021840874,0.064935065,0.058947499,0.007487926,19.26974176,1
0,0.036585366,0,0.010466041,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0.015730337,0.078624079,0.052444596,0.010722396,20.31154107,1
0.012820513,0,0.02552175,0,0.594460663,1
0.005847953,0.00238379,0.012527434,0.000389843,0.310852752,1
0,0,0,0,0,1
0.202898551,0.361702128,0.387991797,0.097182532,7.464661901,1
0,0.084955752,0,0.020817598,0,1
0,0.022727273,0,0.01,0,1
0,0.00363901,0,0.000724746,0,1
0,0.12,0,0.0625,0,1
0,0,0,0,0,1
0,0.035294118,0,0.016178444,0,1
0,0.044444444,0,0.017108239,0,1
0,0.08,0,0.031235705,0,1
0,0,0,0,0,1
0.212328767,0.292682927,0.378442963,0.12329924,17.02597046,1
0,0.006465517,0,0.001457249,0,1
0,0.033707865,0,0.010906694,0,1
0,0.076923077,0,0.017735961,0,1
0,0.072727273,0,0.023756555,0,1
0,0,0,0,0,1
0,0.024509804,0,0.005915524,0,1
0,0.004393673,0,0.006788042,0,1
0,0.052631579,0,0.020619652,0,1
0,0.066666667,0,0.029695694,0,1
0,0,0,0,0,1
0,0.016393443,0,0.005911987,0,1
0,0,0,0,0,1
0,0.189189189,0,0.065218649,0,1
0,0.02970297,0,0.007365696,0,1
0,0,0,0,0,1
0,0.066666667,0,0.133630621,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0.021696252,0.021114865,0.043126976,0.002657051,4.854451289,1
0,0.059659091,0,0.009591441,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.003378378,0,0.000944386,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.11965812,0,0.018904554,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0.022143039,0.093632959,0.048786142,0.013017259,42.66963437,1
0.071661238,0.05,0.142742831,0.043033148,22.45332358,1
0,0.112903226,0,0.077264387,0,1
0.017130621,0.051282051,0.041779017,0.008873866,3.230283036,1
0,0.019607843,0,0.014197615,0,1
0.049575071,0.148387097,0.175850536,0.02810151,17.03366394,1
0.209302326,0.212121212,0.363803438,0.072295689,4.884004991,1
0.049482163,0.108303249,0.104804817,0.018179394,17.37614578,1
0,0.073770492,0,0.055708601,0,1
0.001285622,0.005788068,0.007169887,0.001298298,2.657505868,1
0,0,0,0,0,1
0.018691589,0,0.040291148,0,1.092863722,1
0,0.131147541,0,0.053041815,0,1
0,0,0,0,0,1
0,0.048780488,0,0.105409255,0,1
0,0.076923077,0,0.083333333,0,1
0.06505295,0.095384615,0.122163528,0.011999492,15.775717,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.088,0,0.018647619,0,1
0,0.032786885,0,0.004322256,0,1
0,0.01754386,0,0.006074119,0,1
0,0.042682927,0,0.008133093,0,1
0,0,0,0,0,1
0,0.048387097,0,0.065094455,0,1
0,0.02,0,0.004389043,0,1
0.003577818,0.158139535,0.032116343,0.02265147,0.885790225,1
0,0,0,0,0,1
0,0.071428571,0,0.059575547,0,1
0.109375,0,0.197673873,0,3.266606944,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.209163347,0,0.018251104,0,1
0.000263043,0.001309758,0.004258673,0.000282947,4.945887541,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.025,0,0.005859509,0,1
0.018087855,0.004832863,0.037785433,0.000746323,2.131198604,1
0,0.142857143,0,0.204124145,0,1
0.007317073,0.024054983,0.02955669,0.003578799,3.485229685,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0.034188034,0,0.00794502,0,1
0,0.021857923,0,0.037371755,0,1
0,0,0,0,0,1
0.043478261,0.148148148,0.181901719,0.048650426,1.460208295,1
0.030075188,0.04,0.072404861,0.016597653,2.985332388,1
0.00039557,0,0.001180005,0,0.468704834,1
0.034805389,0.051587302,0.067274231,0.011609929,38.71940033,1
